song,artist,start_date,end_date,rank,ranking_list
This Is How We Do It,Montell Jordan,1995-04-15,1995-04-21,1,Billboard Hot 100
Red Light Special,TLC,1995-04-15,1995-04-21,2,Billboard Hot 100
Candy Rain,Soul For Real,1995-04-15,1995-04-21,3,Billboard Hot 100
Take A Bow,Madonna,1995-04-15,1995-04-21,4,Billboard Hot 100
Run Away,Real McCoy,1995-04-15,1995-04-21,5,Billboard Hot 100
Freak Like Me,Adina Howard,1995-04-15,1995-04-21,6,Billboard Hot 100
Strong Enough,Sheryl Crow,1995-04-15,1995-04-21,7,Billboard Hot 100
Big Poppa/Warning,The Notorious B.I.G.,1995-04-15,1995-04-21,8,Billboard Hot 100
I Know,Dionne Farris,1995-04-15,1995-04-21,9,Billboard Hot 100
Creep,TLC,1995-04-15,1995-04-21,10,Billboard Hot 100
Baby,Brandy,1995-04-15,1995-04-21,11,Billboard Hot 100
You Gotta Be,Des'ree,1995-04-15,1995-04-21,12,Billboard Hot 100
If You Love Me,Brownstone,1995-04-15,1995-04-21,13,Billboard Hot 100
Dear Mama/Old School,2Pac,1995-04-15,1995-04-21,14,Billboard Hot 100
This Lil' Game We Play,Subway (Featuring 702),1995-04-15,1995-04-21,15,Billboard Hot 100
I Believe,Blessid Union Of Souls,1995-04-15,1995-04-21,16,Billboard Hot 100
Believe,Elton John,1995-04-15,1995-04-21,17,Billboard Hot 100
"Keep Their Heads Ringin' (From ""Friday"")",Dr. Dre,1995-04-15,1995-04-21,18,Billboard Hot 100
In The House Of Stone And Light,Martin Page,1995-04-15,1995-04-21,19,Billboard Hot 100
Hold My Hand,Hootie & The Blowfish,1995-04-15,1995-04-21,20,Billboard Hot 100
Another Night,Real McCoy,1995-04-15,1995-04-21,21,Billboard Hot 100
Like The Way I Do/If I Wanted To,Melissa Etheridge,1995-04-15,1995-04-21,22,Billboard Hot 100
Hold On,Jamie Walters,1995-04-15,1995-04-21,23,Billboard Hot 100
I'm Goin' Down,Mary J. Blige,1995-04-15,1995-04-21,24,Billboard Hot 100
On Bended Knee,Boyz II Men,1995-04-15,1995-04-21,25,Billboard Hot 100
Thank You,Boyz II Men,1995-04-15,1995-04-21,26,Billboard Hot 100
I Live My Life For You,Firehouse,1995-04-15,1995-04-21,27,Billboard Hot 100
Cotton Eye Joe,Rednex,1995-04-15,1995-04-21,28,Billboard Hot 100
"Ask Of You (From ""Higher Learning"")",Raphael Saadiq,1995-04-15,1995-04-21,29,Billboard Hot 100
The Rhythm Of The Night,Corona,1995-04-15,1995-04-21,30,Billboard Hot 100
Tell Me When,The Human League,1995-04-15,1995-04-21,31,Billboard Hot 100
Always,Bon Jovi,1995-04-15,1995-04-21,32,Billboard Hot 100
Everlasting Love,Gloria Estefan,1995-04-15,1995-04-21,33,Billboard Hot 100
"No More ""I Love You's""",Annie Lennox,1995-04-15,1995-04-21,34,Billboard Hot 100
Dream About You/Funky Melody,Stevie B,1995-04-15,1995-04-21,35,Billboard Hot 100
Sukiyaki,4PM,1995-04-15,1995-04-21,36,Billboard Hot 100
Let Her Cry,Hootie & The Blowfish,1995-04-15,1995-04-21,37,Billboard Hot 100
Can't Stop Lovin' You,Van Halen,1995-04-15,1995-04-21,38,Billboard Hot 100
I'm The Only One,Melissa Etheridge,1995-04-15,1995-04-21,39,Billboard Hot 100
If You Think You're Lonely Now,K-Ci Hailey,1995-04-15,1995-04-21,40,Billboard Hot 100
You Don't Know How It Feels,Tom Petty,1995-04-15,1995-04-21,41,Billboard Hot 100
Mr. Personality,Gillette,1995-04-15,1995-04-21,42,Billboard Hot 100
"You Got It (From ""Boys On The Side"")",Bonnie Raitt,1995-04-15,1995-04-21,43,Billboard Hot 100
"Can't You See (From ""New Jersey Drive"")",Total Featuring The Notorious B.I.G.,1995-04-15,1995-04-21,44,Billboard Hot 100
Every Day Of The Week,Jade,1995-04-15,1995-04-21,45,Billboard Hot 100
Before I Let You Go,BLACKstreet,1995-04-15,1995-04-21,46,Billboard Hot 100
Get Ready For This,2 Unlimited,1995-04-15,1995-04-21,47,Billboard Hot 100
Joy,BLACKstreet,1995-04-15,1995-04-21,48,Billboard Hot 100
House Of Love,Amy Grant With Vince Gill,1995-04-15,1995-04-21,49,Billboard Hot 100
The Sweetest Days,Vanessa Williams,1995-04-15,1995-04-21,50,Billboard Hot 100
I'd Rather Be Alone,IV Xample,1995-04-15,1995-04-21,51,Billboard Hot 100
I Miss You,N2U,1995-04-15,1995-04-21,52,Billboard Hot 100
Until The End Of Time,Foreigner,1995-04-15,1995-04-21,53,Billboard Hot 100
Move It Like This,K7,1995-04-15,1995-04-21,54,Billboard Hot 100
Never Find Someone Like You,Keith Martin,1995-04-15,1995-04-21,55,Billboard Hot 100
For Your Love,Stevie Wonder,1995-04-15,1995-04-21,56,Billboard Hot 100
Foe Tha Love Of $,Bone Thugs-N-Harmony Featuring Eazy-E,1995-04-15,1995-04-21,57,Billboard Hot 100
Think Of You,Usher,1995-04-15,1995-04-21,58,Billboard Hot 100
I'll Be Around,Rappin' 4-Tay Featuring The Spinners,1995-04-15,1995-04-21,59,Billboard Hot 100
(She's Got) Skillz,All-4-One,1995-04-15,1995-04-21,60,Billboard Hot 100
Run-Around,Blues Traveler,1995-04-15,1995-04-21,61,Billboard Hot 100
Come Back,Londonbeat,1995-04-15,1995-04-21,62,Billboard Hot 100
Close To You,Fun Factory,1995-04-15,1995-04-21,63,Billboard Hot 100
Get Down,Craig Mack,1995-04-15,1995-04-21,64,Billboard Hot 100
Here & Now,Letters To Cleo,1995-04-15,1995-04-21,65,Billboard Hot 100
Have You Ever Really Loved A Woman?,Bryan Adams,1995-04-15,1995-04-21,66,Billboard Hot 100
Brooklyn Zoo,Ol' Dirty Bastard,1995-04-15,1995-04-21,67,Billboard Hot 100
Wonderful,Adam Ant,1995-04-15,1995-04-21,68,Billboard Hot 100
"Shy Guy (From ""Bad Boys"")",Diana King,1995-04-15,1995-04-21,69,Billboard Hot 100
Connection,Elastica,1995-04-15,1995-04-21,70,Billboard Hot 100
1-Luv,E-40 (Featuring Leviti),1995-04-15,1995-04-21,71,Billboard Hot 100
Total Eclipse Of The Heart,Nicki French,1995-04-15,1995-04-21,72,Billboard Hot 100
Feel So High,Des'ree,1995-04-15,1995-04-21,73,Billboard Hot 100
Tour,Capleton,1995-04-15,1995-04-21,74,Billboard Hot 100
Shook Ones Part II,Mobb Deep,1995-04-15,1995-04-21,75,Billboard Hot 100
Fat Boy,Max-A-Million,1995-04-15,1995-04-21,76,Billboard Hot 100
Give It 2 You,Da Brat,1995-04-15,1995-04-21,77,Billboard Hot 100
Rodeo,95 South,1995-04-15,1995-04-21,78,Billboard Hot 100
She Don't Use Jelly,The Flaming Lips,1995-04-15,1995-04-21,79,Billboard Hot 100
The Keeper Of The Stars,Tracy Byrd,1995-04-15,1995-04-21,80,Billboard Hot 100
Lick It,Roula,1995-04-15,1995-04-21,81,Billboard Hot 100
Get Lifted,Keith Murray,1995-04-15,1995-04-21,82,Billboard Hot 100
